,Premise 1,Premise 2,Premise 3,Conclusion,Argument Group,Phenomenon,Dataset,GPT-3.5,GPT-4
2788,pelican,vulture,,penguin,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2789,whip,club,,tank,Low,Premise Diversity,Giallanza Phenomena,5.0,20.0
2790,scarf,cap,,belt,Low,Premise Diversity,Giallanza Phenomena,100.0,60.0
2791,sled,go-cart,,zeppelin,Low,Premise Diversity,Giallanza Phenomena,5.0,20.0
2792,whale,ray,,shark,High,Premise Diversity,Giallanza Phenomena,100.0,85.0
2793,(hot air) balloon,sled,,rocket,High,Premise Diversity,Giallanza Phenomena,50.0,60.0
2794,knuckle dusters,stick,,slingshot,High,Premise Diversity,Giallanza Phenomena,0.0,65.0
2795,hat,shoes,,mittens,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2796,flee,earwig,,spider,Low,Premise Diversity,Giallanza Phenomena,100.0,60.0
2797,nutcracker,bottle,,apron,High,Premise Diversity,Giallanza Phenomena,0.0,30.0
2798,(hot air) balloon,submarine,,go-cart,High,Premise Diversity,Giallanza Phenomena,0.0,30.0
2799,cart,go-cart,,sled,Low,Premise Diversity,Giallanza Phenomena,100.0,65.0
2800,tie,boots,,scarf,High,Premise Diversity,Giallanza Phenomena,100.0,70.0
2801,hedgehog,squirrel,,llama,Low,Premise Diversity,Giallanza Phenomena,5.0,45.0
2802,oilcan,file,,clamp,Low,Premise Diversity,Giallanza Phenomena,100.0,60.0
2803,hippopotamus,kangaroo,,beaver,Low,Premise Diversity,Giallanza Phenomena,100.0,65.0
2804,bagpipe,triangle,,bassoon,High,Premise Diversity,Giallanza Phenomena,0.0,65.0
2805,crocodile,frog,,tortoise,High,Premise Diversity,Giallanza Phenomena,50.0,70.0
2806,hippopotamus,kangaroo,,beaver,Low,Premise Diversity,Giallanza Phenomena,0.0,65.0
2807,blindworm,boa,,turtle,Low,Premise Diversity,Giallanza Phenomena,50.0,30.0
2808,mittens,belt,,cap,High,Premise Diversity,Giallanza Phenomena,0.0,65.0
2809,tambourine,harmonica,,banjo,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2810,pan flute,cymbals,,harmonica,High,Premise Diversity,Giallanza Phenomena,100.0,65.0
2811,sled,go-cart,,rocket,Low,Premise Diversity,Giallanza Phenomena,5.0,30.0
2812,anchovy,whale,,flatfish,High,Premise Diversity,Giallanza Phenomena,100.0,85.0
2813,skateboard,zeppelin,,sled,High,Premise Diversity,Giallanza Phenomena,100.0,65.0
2814,squid,flatfish,,swordfish,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2815,flee,worm,,caterpillar,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2816,kick scooter,go-cart,,cart,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2817,shield,club,,slingshot,Low,Premise Diversity,Giallanza Phenomena,100.0,60.0
2818,bagpipe,bassoon,,cymbals,Low,Premise Diversity,Giallanza Phenomena,100.0,30.0
2819,whip,bow,,stick,Low,Premise Diversity,Giallanza Phenomena,50.0,70.0
2820,llama,dromedary,,beaver,Low,Premise Diversity,Giallanza Phenomena,0.0,30.0
2821,slingshot,double barrelled shotgun,,tank,Low,Premise Diversity,Giallanza Phenomena,90.0,60.0
2822,rope,lawn mower,,nail,High,Premise Diversity,Giallanza Phenomena,10.0,30.0
2823,slingshot,spear,,stick,Low,Premise Diversity,Giallanza Phenomena,90.0,60.0
2824,skateboard,(hot air) balloon,,zeppelin,High,Premise Diversity,Giallanza Phenomena,100.0,70.0
2825,louse,centipede,,flee,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2826,wire brush,nail,,anvil,Low,Premise Diversity,Giallanza Phenomena,100.0,65.0
2827,squirrel,hamster,,llama,Low,Premise Diversity,Giallanza Phenomena,0.0,45.0
2828,boots,beanie,,hat,High,Premise Diversity,Giallanza Phenomena,100.0,85.0
2829,bow,whip,,tank,Low,Premise Diversity,Giallanza Phenomena,5.0,20.0
2830,anvil,vacuum cleaner,,wire brush,High,Premise Diversity,Giallanza Phenomena,100.0,45.0
2831,sperm whale,ray,,flatfish,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2832,shark,whale,,orca,Low,Premise Diversity,Giallanza Phenomena,100.0,95.0
2833,sperm whale,whale,,orca,Low,Premise Diversity,Giallanza Phenomena,100.0,95.0
2834,bottle,towel,,teaspoon,High,Premise Diversity,Giallanza Phenomena,100.0,45.0
2835,blindworm,frog,,caiman,High,Premise Diversity,Giallanza Phenomena,50.0,60.0
2836,bathing suit,boots,,shoes,High,Premise Diversity,Giallanza Phenomena,100.0,85.0
2837,scales,mug,,towel,Low,Premise Diversity,Giallanza Phenomena,10.0,45.0
2838,go-cart,rocket,,kick scooter,High,Premise Diversity,Giallanza Phenomena,100.0,65.0
2839,tie,hat,,beanie,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2840,cart,rocket,,sled,High,Premise Diversity,Giallanza Phenomena,100.0,70.0
2841,crocodile,toad,,dinosaur,High,Premise Diversity,Giallanza Phenomena,50.0,70.0
2842,stick,slingshot,,club,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2843,place mat,teaspoon,,apron,High,Premise Diversity,Giallanza Phenomena,50.0,45.0
2844,nail,clamp,,vacuum cleaner,Low,Premise Diversity,Giallanza Phenomena,100.0,30.0
2845,worm,louse,,centipede,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2846,scarf,shoes,,boots,High,Premise Diversity,Giallanza Phenomena,100.0,85.0
2847,cap,bathing suit,,hat,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2848,crocodile,blindworm,,boa,High,Premise Diversity,Giallanza Phenomena,50.0,85.0
2849,rope,nail,,vacuum cleaner,Low,Premise Diversity,Giallanza Phenomena,0.0,30.0
2850,oilcan,vacuum cleaner,,plough,High,Premise Diversity,Giallanza Phenomena,100.0,45.0
2851,worm,spider,,flee,High,Premise Diversity,Giallanza Phenomena,100.0,70.0
2852,teaspoon,glass,,place mat,High,Premise Diversity,Giallanza Phenomena,90.0,60.0
2853,llama,hedgehog,,squirrel,High,Premise Diversity,Giallanza Phenomena,0.0,65.0
2854,spear,bow,,slingshot,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2855,file,oilcan,,lawn mower,Low,Premise Diversity,Giallanza Phenomena,100.0,60.0
2856,hippopotamus,dromedary,,hedgehog,Low,Premise Diversity,Giallanza Phenomena,0.0,30.0
2857,rocket,(hot air) balloon,,go-cart,High,Premise Diversity,Giallanza Phenomena,100.0,30.0
2858,swordfish,sperm whale,,whale,Low,Premise Diversity,Giallanza Phenomena,100.0,95.0
2859,penguin,duck,,peacock,High,Premise Diversity,Giallanza Phenomena,100.0,70.0
2860,apron,place mat,,scissors,Low,Premise Diversity,Giallanza Phenomena,10.0,20.0
2861,stick,tank,,whip,High,Premise Diversity,Giallanza Phenomena,100.0,65.0
2862,(hot air) balloon,submarine,,rocket,High,Premise Diversity,Giallanza Phenomena,90.0,70.0
2863,turkey,penguin,,rooster,High,Premise Diversity,Giallanza Phenomena,100.0,70.0
2864,triangle,harpsichord,,synthesizer,High,Premise Diversity,Giallanza Phenomena,0.0,45.0
2865,boots,bathing suit,,belt,High,Premise Diversity,Giallanza Phenomena,50.0,60.0
2866,earwig,flee,,caterpillar,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2867,lawn mower,oilcan,,vacuum cleaner,High,Premise Diversity,Giallanza Phenomena,0.0,65.0
2868,scarf,boots,,bathing suit,High,Premise Diversity,Giallanza Phenomena,0.0,20.0
2869,shark,whale,,swordfish,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2870,hippopotamus,hedgehog,,kangaroo,High,Premise Diversity,Giallanza Phenomena,50.0,65.0
2871,turkey,duck,,pheasant,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2872,duck,ostrich,,pheasant,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2873,bagpipe,tambourine,,harpsichord,High,Premise Diversity,Giallanza Phenomena,5.0,60.0
2874,moth,earwig,,caterpillar,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2875,teaspoon,nutcracker,,mug,Low,Premise Diversity,Giallanza Phenomena,0.0,60.0
2876,knuckle dusters,slingshot,,whip,Low,Premise Diversity,Giallanza Phenomena,0.0,65.0
2877,wire brush,nail,,file,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2878,wire brush,oilcan,,anvil,Low,Premise Diversity,Giallanza Phenomena,0.0,40.0
2879,caterpillar,worm,,flee,Low,Premise Diversity,Giallanza Phenomena,100.0,40.0
2880,turkey,swan,,rooster,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2881,glass,teaspoon,,nutcracker,High,Premise Diversity,Giallanza Phenomena,100.0,45.0
2882,frog,toad,,turtle,Low,Premise Diversity,Giallanza Phenomena,100.0,60.0
2883,synthesizer,pan flute,,bagpipe,High,Premise Diversity,Giallanza Phenomena,100.0,70.0
2884,beanie,bathing suit,,shoes,Low,Premise Diversity,Giallanza Phenomena,0.0,65.0
2885,flee,centipede,,louse,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2886,pan flute,harmonica,,bassoon,Low,Premise Diversity,Giallanza Phenomena,5.0,60.0
2887,go-cart,(hot air) balloon,,cart,High,Premise Diversity,Giallanza Phenomena,100.0,65.0
2888,glass,place mat,,nutcracker,Low,Premise Diversity,Giallanza Phenomena,50.0,30.0
2889,centipede,spider,,moth,Low,Premise Diversity,Giallanza Phenomena,100.0,40.0
2890,bagpipe,harpsichord,,triangle,Low,Premise Diversity,Giallanza Phenomena,0.0,30.0
2891,louse,centipede,,worm,Low,Premise Diversity,Giallanza Phenomena,100.0,45.0
2892,earwig,centipede,,butterfly,Low,Premise Diversity,Giallanza Phenomena,5.0,40.0
2893,hedgehog,llama,,bat,High,Premise Diversity,Giallanza Phenomena,0.0,60.0
2894,bassoon,pan flute,,synthesizer,Low,Premise Diversity,Giallanza Phenomena,0.0,45.0
2895,vacuum cleaner,clamp,,nail,High,Premise Diversity,Giallanza Phenomena,100.0,30.0
2896,shark,flatfish,,orca,High,Premise Diversity,Giallanza Phenomena,100.0,70.0
2897,butterfly,moth,,centipede,Low,Premise Diversity,Giallanza Phenomena,100.0,30.0
2898,lawn mower,file,,nail,High,Premise Diversity,Giallanza Phenomena,0.0,60.0
2899,synthesizer,banjo,,harmonica,High,Premise Diversity,Giallanza Phenomena,100.0,60.0
2900,bassoon,pan flute,,harmonica,Low,Premise Diversity,Giallanza Phenomena,100.0,60.0
2901,leech,louse,,flee,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2902,mug,teaspoon,,place mat,Low,Premise Diversity,Giallanza Phenomena,100.0,45.0
2903,beanie,belt,,shoes,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2904,earwig,flee,,worm,Low,Premise Diversity,Giallanza Phenomena,50.0,30.0
2905,harmonica,harpsichord,,tambourine,Low,Premise Diversity,Giallanza Phenomena,100.0,40.0
2906,bottle,mug,,towel,Low,Premise Diversity,Giallanza Phenomena,5.0,30.0
2907,centipede,earwig,,flee,Low,Premise Diversity,Giallanza Phenomena,100.0,65.0
2908,clamp,nail,,file,Low,Premise Diversity,Giallanza Phenomena,100.0,45.0
2909,blindworm,turtle,,tortoise,High,Premise Diversity,Giallanza Phenomena,100.0,85.0
2910,hedgehog,llama,,hamster,High,Premise Diversity,Giallanza Phenomena,0.0,65.0
2911,vulture,pheasant,,swan,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2912,nutcracker,teaspoon,,mug,Low,Premise Diversity,Giallanza Phenomena,5.0,60.0
2913,skateboard,cart,,submarine,High,Premise Diversity,Giallanza Phenomena,10.0,20.0
2914,pheasant,duck,,vulture,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2915,sperm whale,flatfish,,dolphin,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2916,squirrel,beaver,,hedgehog,Low,Premise Diversity,Giallanza Phenomena,100.0,65.0
2917,mittens,beanie,,belt,Low,Premise Diversity,Giallanza Phenomena,100.0,30.0
2918,peacock,pelican,,ostrich,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2919,plough,lawn mower,,rope,High,Premise Diversity,Giallanza Phenomena,0.0,20.0
2920,hedgehog,squirrel,,bat,Low,Premise Diversity,Giallanza Phenomena,0.0,65.0
2921,pan flute,tambourine,,bagpipe,Low,Premise Diversity,Giallanza Phenomena,90.0,60.0
2922,belt,mittens,,boots,High,Premise Diversity,Giallanza Phenomena,100.0,70.0
2923,moth,earwig,,centipede,Low,Premise Diversity,Giallanza Phenomena,100.0,65.0
2924,kick scooter,(hot air) balloon,,submarine,High,Premise Diversity,Giallanza Phenomena,5.0,30.0
2925,shield,spear,,stick,Low,Premise Diversity,Giallanza Phenomena,100.0,60.0
2926,banjo,harpsichord,,bagpipe,Low,Premise Diversity,Giallanza Phenomena,100.0,60.0
2927,bagpipe,tambourine,,triangle,High,Premise Diversity,Giallanza Phenomena,100.0,70.0
2928,blindworm,boa,,toad,Low,Premise Diversity,Giallanza Phenomena,0.0,30.0
2929,harpsichord,pan flute,,synthesizer,Low,Premise Diversity,Giallanza Phenomena,0.0,65.0
2930,hippopotamus,kangaroo,,hamster,Low,Premise Diversity,Giallanza Phenomena,0.0,65.0
2931,slingshot,double barrelled shotgun,,whip,Low,Premise Diversity,Giallanza Phenomena,0.0,40.0
2932,knuckle dusters,shield,,club,Low,Premise Diversity,Giallanza Phenomena,50.0,70.0
2933,boa,blindworm,,viper,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2934,harmonica,bassoon,,harpsichord,Low,Premise Diversity,Giallanza Phenomena,0.0,60.0
2935,skateboard,kick scooter,,hovercraft,Low,Premise Diversity,Giallanza Phenomena,100.0,30.0
2936,mug,nutcracker,,teaspoon,High,Premise Diversity,Giallanza Phenomena,100.0,65.0
2937,flatfish,orca,,sperm whale,High,Premise Diversity,Giallanza Phenomena,100.0,85.0
2938,place mat,mug,,towel,Low,Premise Diversity,Giallanza Phenomena,90.0,60.0
2939,hedgehog,kangaroo,,beaver,High,Premise Diversity,Giallanza Phenomena,0.0,65.0
2940,hat,beanie,,boots,Low,Premise Diversity,Giallanza Phenomena,100.0,30.0
2941,cymbals,harmonica,,bagpipe,High,Premise Diversity,Giallanza Phenomena,100.0,70.0
2942,boots,tie,,shoes,High,Premise Diversity,Giallanza Phenomena,100.0,85.0
2943,place mat,apron,,towel,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2944,beaver,kangaroo,,squirrel,High,Premise Diversity,Giallanza Phenomena,50.0,70.0
2945,worm,flee,,leech,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2946,wire brush,plough,,file,High,Premise Diversity,Giallanza Phenomena,100.0,65.0
2947,plough,rope,,lawn mower,High,Premise Diversity,Giallanza Phenomena,50.0,45.0
2948,hippopotamus,hamster,,bat,High,Premise Diversity,Giallanza Phenomena,50.0,65.0
2949,squid,shark,,dolphin,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2950,cart,rocket,,submarine,High,Premise Diversity,Giallanza Phenomena,100.0,60.0
2951,beanie,scarf,,cap,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2952,rocket,zeppelin,,(hot air) balloon,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2953,sperm whale,dolphin,,squid,Low,Premise Diversity,Giallanza Phenomena,90.0,30.0
2954,ostrich,peacock,,swan,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2955,lawn mower,clamp,,anvil,High,Premise Diversity,Giallanza Phenomena,50.0,45.0
2956,file,nail,,oilcan,Low,Premise Diversity,Giallanza Phenomena,100.0,60.0
2957,spear,double barrelled shotgun,,bow,High,Premise Diversity,Giallanza Phenomena,90.0,70.0
2958,turtle,frog,,dinosaur,High,Premise Diversity,Giallanza Phenomena,90.0,70.0
2959,crocodile,blindworm,,viper,High,Premise Diversity,Giallanza Phenomena,50.0,85.0
2960,cap,beanie,,tie,Low,Premise Diversity,Giallanza Phenomena,100.0,30.0
2961,centipede,leech,,moth,Low,Premise Diversity,Giallanza Phenomena,0.0,30.0
2962,pelican,peacock,,turkey,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2963,orca,swordfish,,shark,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2964,bottle,towel,,nutcracker,High,Premise Diversity,Giallanza Phenomena,50.0,30.0
2965,dinosaur,crocodile,,toad,Low,Premise Diversity,Giallanza Phenomena,50.0,60.0
2966,apron,scissors,,mug,High,Premise Diversity,Giallanza Phenomena,5.0,40.0
2967,apron,bottle,,place mat,High,Premise Diversity,Giallanza Phenomena,100.0,45.0
2968,turkey,swan,,vulture,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2969,bathing suit,belt,,scarf,High,Premise Diversity,Giallanza Phenomena,50.0,65.0
2970,bat,dromedary,,llama,High,Premise Diversity,Giallanza Phenomena,100.0,65.0
2971,pheasant,vulture,,penguin,Low,Premise Diversity,Giallanza Phenomena,5.0,70.0
2972,tambourine,triangle,,harpsichord,Low,Premise Diversity,Giallanza Phenomena,0.0,30.0
2973,pelican,turkey,,vulture,High,Premise Diversity,Giallanza Phenomena,100.0,85.0
2974,caiman,frog,,boa,High,Premise Diversity,Giallanza Phenomena,50.0,70.0
2975,wire brush,plough,,rope,High,Premise Diversity,Giallanza Phenomena,100.0,30.0
2976,cart,(hot air) balloon,,skateboard,High,Premise Diversity,Giallanza Phenomena,100.0,45.0
2977,caterpillar,moth,,earwig,Low,Premise Diversity,Giallanza Phenomena,100.0,60.0
2978,swordfish,orca,,flatfish,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2979,tortoise,blindworm,,dinosaur,High,Premise Diversity,Giallanza Phenomena,50.0,70.0
2980,squid,anchovy,,sperm whale,Low,Premise Diversity,Giallanza Phenomena,5.0,60.0
2981,double barrelled shotgun,slingshot,,shield,Low,Premise Diversity,Giallanza Phenomena,5.0,30.0
2982,whale,squid,,orca,Low,Premise Diversity,Giallanza Phenomena,100.0,95.0
2983,oilcan,lawn mower,,plough,High,Premise Diversity,Giallanza Phenomena,100.0,70.0
2984,penguin,vulture,,pelican,High,Premise Diversity,Giallanza Phenomena,100.0,85.0
2985,club,bow,,slingshot,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2986,stick,double barrelled shotgun,,whip,High,Premise Diversity,Giallanza Phenomena,100.0,70.0
2987,bottle,mug,,scales,Low,Premise Diversity,Giallanza Phenomena,0.0,30.0
2988,butterfly,louse,,leech,High,Premise Diversity,Giallanza Phenomena,100.0,45.0
2989,harmonica,tambourine,,harpsichord,Low,Premise Diversity,Giallanza Phenomena,5.0,60.0
2990,ray,sperm whale,,anchovy,Low,Premise Diversity,Giallanza Phenomena,100.0,70.0
2991,banjo,cymbals,,triangle,High,Premise Diversity,Giallanza Phenomena,100.0,85.0
2992,squirrel,beaver,,hedgehog,Low,Premise Diversity,Giallanza Phenomena,100.0,65.0
2993,scales,mug,,apron,Low,Premise Diversity,Giallanza Phenomena,50.0,35.0
2994,bagpipe,synthesizer,,bassoon,High,Premise Diversity,Giallanza Phenomena,50.0,70.0
2995,scarf,mittens,,beanie,Low,Premise Diversity,Giallanza Phenomena,100.0,85.0
2996,towel,apron,,bottle,Low,Premise Diversity,Giallanza Phenomena,5.0,30.0
2997,centipede,louse,,moth,Low,Premise Diversity,Giallanza Phenomena,0.0,60.0
2998,teaspoon,scales,,glass,High,Premise Diversity,Giallanza Phenomena,0.0,45.0
2999,plough,lawn mower,,oilcan,High,Premise Diversity,Giallanza Phenomena,100.0,30.0
3000,pike,turkey,,rabbit,High,Thematic Match,Giallanza Phenomena,50.0,65.0
3001,pike,turkey,,sperm whale,Low,Thematic Match,Giallanza Phenomena,100.0,60.0
3002,falcon,alligator,,fox,High,Thematic Match,Giallanza Phenomena,5.0,65.0
3003,falcon,alligator,,swallow,Low,Thematic Match,Giallanza Phenomena,100.0,70.0
3004,eel,ostrich,,horse,High,Thematic Match,Giallanza Phenomena,0.0,45.0
3005,eel,ostrich,,piranha,Low,Thematic Match,Giallanza Phenomena,100.0,60.0
3006,stickleback,horse,,ostrich,High,Thematic Match,Giallanza Phenomena,100.0,65.0
3007,stickleback,horse,,sperm whale,Low,Thematic Match,Giallanza Phenomena,50.0,65.0
3008,falcon,bee,,airplane,High,Thematic Match,Giallanza Phenomena,5.0,95.0
3009,falcon,bee,,turkey,Low,Thematic Match,Giallanza Phenomena,10.0,70.0
3010,ostrich,eel,,pig,High,Thematic Match,Giallanza Phenomena,0.0,55.0
3011,ostrich,eel,,chicken,Low,Thematic Match,Giallanza Phenomena,0.0,65.0
3012,bee,blackbird,,airplane,High,Thematic Match,Giallanza Phenomena,5.0,5.0
3013,bee,blackbird,,worm,Low,Thematic Match,Giallanza Phenomena,5.0,30.0
3014,fox,crocodile,,vulture,High,Thematic Match,Giallanza Phenomena,0.0,65.0
3015,fox,crocodile,,bison,Low,Thematic Match,Giallanza Phenomena,100.0,60.0
3016,woodpecker,fruit fly,,bat,High,Thematic Match,Giallanza Phenomena,50.0,65.0
3017,woodpecker,fruit fly,,rooster,Low,Thematic Match,Giallanza Phenomena,50.0,70.0
3018,heron,fly,,zeppelin,High,Thematic Match,Giallanza Phenomena,50.0,5.0
3019,heron,fly,,peacock,Low,Thematic Match,Giallanza Phenomena,100.0,70.0
3020,rifle,crocodile,,axe,High,Thematic Match,Giallanza Phenomena,10.0,40.0
3021,rifle,crocodile,,tank,Low,Thematic Match,Giallanza Phenomena,50.0,60.0
3022,carp,pig,,pheasant,High,Thematic Match,Giallanza Phenomena,50.0,60.0
3023,carp,pig,,piranha,Low,Thematic Match,Giallanza Phenomena,100.0,70.0
3024,boa,lion,,shark,High,Thematic Match,Giallanza Phenomena,50.0,70.0
3025,boa,lion,,toad,Low,Thematic Match,Giallanza Phenomena,50.0,45.0
3026,fox,shark,,alligator,High,Thematic Match,Giallanza Phenomena,100.0,65.0
3027,fox,shark,,hedgehog,Low,Thematic Match,Giallanza Phenomena,0.0,55.0
3028,squid,duck,,horse,High,Thematic Match,Giallanza Phenomena,0.0,65.0
3029,squid,duck,,whale,Low,Thematic Match,Giallanza Phenomena,50.0,70.0
3030,falcon,snake,,shark,High,Thematic Match,Giallanza Phenomena,10.0,60.0
3031,falcon,snake,,seagull,Low,Thematic Match,Giallanza Phenomena,50.0,65.0
3032,cow,carp,,duck,High,Thematic Match,Giallanza Phenomena,50.0,65.0
3033,cow,carp,,cat,Low,Thematic Match,Giallanza Phenomena,50.0,70.0
3034,cat,caiman,,vulture,High,Thematic Match,Giallanza Phenomena,50.0,60.0
3035,cat,caiman,,horse,Low,Thematic Match,Giallanza Phenomena,50.0,65.0
3036,crocodile,polar bear,,vulture,High,Thematic Match,Giallanza Phenomena,50.0,40.0
3037,crocodile,polar bear,,snake,Low,Thematic Match,Giallanza Phenomena,0.0,65.0
3038,caiman,falcon,,wolf,High,Thematic Match,Giallanza Phenomena,0.0,70.0
3039,caiman,falcon,,frog,Low,Thematic Match,Giallanza Phenomena,0.0,65.0
3040,axe,cobra,,machine gun,High,Thematic Match,Giallanza Phenomena,50.0,30.0
3041,axe,cobra,,lawn mower,Low,Thematic Match,Giallanza Phenomena,50.0,45.0
3042,canary,hamster,,turtle,High,Thematic Match,Giallanza Phenomena,0.0,60.0
3043,canary,hamster,,woodpecker,Low,Thematic Match,Giallanza Phenomena,100.0,60.0
3044,dove,stickleback,,sheep,High,Thematic Match,Giallanza Phenomena,5.0,55.0
3045,dove,stickleback,,peacock,Low,Thematic Match,Giallanza Phenomena,50.0,70.0
3046,wolf,crocodile,,shark,High,Thematic Match,Giallanza Phenomena,100.0,70.0
3047,wolf,crocodile,,hedgehog,Low,Thematic Match,Giallanza Phenomena,5.0,60.0
3048,crocodile,tiger,,shark,High,Thematic Match,Giallanza Phenomena,50.0,70.0
3049,crocodile,tiger,,viper,Low,Thematic Match,Giallanza Phenomena,50.0,70.0
3050,cat,vulture,,alligator,High,Thematic Match,Giallanza Phenomena,100.0,60.0
3051,cat,vulture,,hedgehog,Low,Thematic Match,Giallanza Phenomena,100.0,65.0
3052,lion,vulture,,alligator,High,Thematic Match,Giallanza Phenomena,100.0,70.0
3053,lion,vulture,,elephant,Low,Thematic Match,Giallanza Phenomena,0.0,70.0
3054,dagger,crocodile,,shark,High,Thematic Match,Giallanza Phenomena,50.0,65.0
3055,dagger,crocodile,,canon,Low,Thematic Match,Giallanza Phenomena,5.0,30.0
3056,eagle,helicopter,,wasp,High,Thematic Match,Giallanza Phenomena,90.0,85.0
3057,eagle,helicopter,,penguin,Low,Thematic Match,Giallanza Phenomena,10.0,30.0
3058,parakeet,turtle,,hamster,High,Thematic Match,Giallanza Phenomena,50.0,65.0
3059,parakeet,turtle,,rooster,Low,Thematic Match,Giallanza Phenomena,50.0,70.0
3060,mosquito,cuckoo,,helicopter,High,Thematic Match,Giallanza Phenomena,5.0,5.0
3061,mosquito,cuckoo,,flee,Low,Thematic Match,Giallanza Phenomena,100.0,70.0
3062,crocodile,machine gun,,saw,High,Thematic Match,Giallanza Phenomena,5.0,45.0
3063,crocodile,machine gun,,frog,Low,Thematic Match,Giallanza Phenomena,5.0,35.0
3064,fly,vulture,,bat,High,Thematic Match,Giallanza Phenomena,100.0,70.0
3065,fly,vulture,,wood louse,Low,Thematic Match,Giallanza Phenomena,100.0,30.0
3066,lion,alligator,,vulture,High,Thematic Match,Giallanza Phenomena,100.0,60.0
3067,lion,alligator,,beaver,Low,Thematic Match,Giallanza Phenomena,100.0,65.0
3068,spear,shark,,lion,High,Thematic Match,Giallanza Phenomena,10.0,60.0
3069,spear,shark,,canon,Low,Thematic Match,Giallanza Phenomena,10.0,30.0
3070,parakeet,cat,,turtle,High,Thematic Match,Giallanza Phenomena,0.0,60.0
3071,parakeet,cat,,robin,Low,Thematic Match,Giallanza Phenomena,50.0,70.0
3072,anchovy,cow,,dove,High,Thematic Match,Giallanza Phenomena,50.0,70.0
3073,anchovy,cow,,sperm whale,Low,Thematic Match,Giallanza Phenomena,100.0,70.0
3074,canary,dog,,goldfish,High,Thematic Match,Giallanza Phenomena,100.0,60.0
3075,canary,dog,,falcon,Low,Thematic Match,Giallanza Phenomena,50.0,70.0
3076,carp,turkey,,cow,High,Thematic Match,Giallanza Phenomena,100.0,70.0
3077,carp,turkey,,goldfish,Low,Thematic Match,Giallanza Phenomena,100.0,85.0
3078,bee,vulture,,airplane,High,Thematic Match,Giallanza Phenomena,5.0,5.0
3079,bee,vulture,,earwig,Low,Thematic Match,Giallanza Phenomena,100.0,65.0
3080,cat,goldfish,,parrot,High,Thematic Match,Giallanza Phenomena,100.0,70.0
3081,cat,goldfish,,bison,Low,Thematic Match,Giallanza Phenomena,100.0,70.0
3082,cod,duck,,rabbit,High,Thematic Match,Giallanza Phenomena,0.0,65.0
3083,cod,duck,,piranha,Low,Thematic Match,Giallanza Phenomena,100.0,70.0
3084,ostrich,eel,,cow,High,Thematic Match,Giallanza Phenomena,5.0,55.0
3085,ostrich,eel,,robin,Low,Thematic Match,Giallanza Phenomena,5.0,60.0
3086,ostrich,squid,,pig,High,Thematic Match,Giallanza Phenomena,0.0,55.0
3087,ostrich,squid,,chicken,Low,Thematic Match,Giallanza Phenomena,50.0,65.0
3088,lion,spear,,axe,High,Thematic Match,Giallanza Phenomena,50.0,60.0
3089,lion,spear,,polar bear,Low,Thematic Match,Giallanza Phenomena,50.0,60.0
3090,fruit fly,owl,,airplane,High,Thematic Match,Giallanza Phenomena,5.0,5.0
3091,fruit fly,owl,,spider,Low,Thematic Match,Giallanza Phenomena,50.0,65.0
